stage=T1_measured_founding  step=1060  global_step=1060  loss=0.9638  lr=0.0005272  wall_s=1.063e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.434  real_bold_nll=221.7  bold_log_scale=5.498  bold_parcels_covered=400
stage=T1_measured_founding  step=1080  global_step=1080  loss=1.022  lr=0.0005239  wall_s=1.083e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.533  real_bold_nll=353.8  bold_log_scale=5.687  bold_parcels_covered=399
stage=T1_measured_founding  step=1100  global_step=1100  loss=1.004  lr=0.0005205  wall_s=1.103e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.457  real_bold_nll=380.9  bold_log_scale=5.734  bold_parcels_covered=398
stage=T1_measured_founding  step=1120  global_step=1120  loss=0.9337  lr=0.0005172  wall_s=1.124e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.394  real_bold_nll=211.2  bold_log_scale=5.638  bold_parcels_covered=400
stage=T1_measured_founding  step=1140  global_step=1140  loss=1.068  lr=0.0005137  wall_s=1.146e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.483  real_bold_nll=103.6  bold_log_scale=5.344  bold_parcels_covered=400
stage=T1_measured_founding  step=1160  global_step=1160  loss=0.9987  lr=0.0005102  wall_s=1.167e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.481  real_bold_nll=281.2  bold_log_scale=5.63  bold_parcels_covered=391
stage=T1_measured_founding  step=1180  global_step=1180  loss=0.9522  lr=0.0005066  wall_s=1.191e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.465  real_bold_nll=217.8  bold_log_scale=5.488  bold_parcels_covered=400
stage=T1_measured_founding  step=1200  global_step=1200  loss=1.109  lr=0.000503  wall_s=1.21e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.608  real_bold_nll=319  bold_log_scale=5.598  bold_parcels_covered=400
stage=T1_measured_founding  step=1220  global_step=1220  loss=1.029  lr=0.0004993  wall_s=1.233e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.492  real_bold_nll=243.8  bold_log_scale=5.521  bold_parcels_covered=400
stage=T1_measured_founding  step=1240  global_step=1240  loss=1.038  lr=0.0004956  wall_s=1.255e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.555  real_bold_nll=284.2  bold_log_scale=5.535  bold_parcels_covered=400
stage=T1_measured_founding  step=1260  global_step=1260  loss=0.9881  lr=0.0004918  wall_s=1.277e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.445  real_bold_nll=372.6  bold_log_scale=5.684  bold_parcels_covered=399
stage=T1_measured_founding  step=1280  global_step=1280  loss=1.044  lr=0.000488  wall_s=1.297e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.459  real_bold_nll=350.7  bold_log_scale=5.642  bold_parcels_covered=400
stage=T1_measured_founding  step=1300  global_step=1300  loss=1.026  lr=0.0004841  wall_s=1.32e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.514  real_bold_nll=186.1  bold_log_scale=5.414  bold_parcels_covered=400
stage=T1_measured_founding  step=1320  global_step=1320  loss=1.021  lr=0.0004801  wall_s=1.34e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.436  real_bold_nll=364.3  bold_log_scale=5.636  bold_parcels_covered=398
stage=T1_measured_founding  step=1340  global_step=1340  loss=0.9322  lr=0.0004761  wall_s=1.361e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.339  real_bold_nll=169.8  bold_log_scale=5.493  bold_parcels_covered=400
stage=T1_measured_founding  step=1360  global_step=1360  loss=1.035  lr=0.0004721  wall_s=1.38e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.523  real_bold_nll=438  bold_log_scale=5.621  bold_parcels_covered=398
stage=T1_measured_founding  step=1380  global_step=1380  loss=0.9594  lr=0.000468  wall_s=1.4e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.472  real_bold_nll=149.3  bold_log_scale=5.463  bold_parcels_covered=400
stage=T1_measured_founding  step=1400  global_step=1400  loss=1.064  lr=0.0004639  wall_s=1.419e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.464  real_bold_nll=342.4  bold_log_scale=5.784  bold_parcels_covered=395
stage=T1_measured_founding  step=1420  global_step=1420  loss=0.983  lr=0.0004597  wall_s=1.438e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.466  real_bold_nll=137  bold_log_scale=5.537  bold_parcels_covered=399
stage=T1_measured_founding  step=1440  global_step=1440  loss=0.9718  lr=0.0004555  wall_s=1.458e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.504  real_bold_nll=163.4  bold_log_scale=5.46  bold_parcels_covered=400
stage=T1_measured_founding  step=1460  global_step=1460  loss=0.9569  lr=0.0004512  wall_s=1.478e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.384  real_bold_nll=363.9  bold_log_scale=5.744  bold_parcels_covered=393
stage=T1_measured_founding  step=1480  global_step=1480  loss=1.072  lr=0.0004469  wall_s=1.497e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.559  real_bold_nll=361.9  bold_log_scale=5.818  bold_parcels_covered=397
stage=T1_measured_founding  step=1500  global_step=1500  loss=0.97  lr=0.0004426  wall_s=1.516e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.432  real_bold_nll=232.2  bold_log_scale=5.505  bold_parcels_covered=400
stage=T1_measured_founding  step=1520  global_step=1520  loss=0.9619  lr=0.0004382  wall_s=1.536e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.422  real_bold_nll=196.1  bold_log_scale=5.531  bold_parcels_covered=400
stage=T1_measured_founding  step=1540  global_step=1540  loss=0.9757  lr=0.0004338  wall_s=1.556e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.472  real_bold_nll=161.8  bold_log_scale=5.47  bold_parcels_covered=400
stage=T1_measured_founding  step=1560  global_step=1560  loss=0.9672  lr=0.0004293  wall_s=1.576e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.371  real_bold_nll=318.8  bold_log_scale=5.638  bold_parcels_covered=393
