[mem] CUDA reserve capped at 72.0 GB (fraction=0.592 of 121.6 GB unified pool)
{
  "parameters": {
    "coupling": 3,
    "msg_proj": 36,
    "msg_readin": 1872,
    "context": 17792,
    "family_local": 1814447,
    "family_residual": 365639,
    "family_readout": 26946,
    "assimilate": 234587,
    "observation": 2073,
    "eeg": 27481,
    "bold": 3312,
    "behaviour": 22342,
    "TOTAL": 2516530
  },
  "posterior": 1679840
}
[leakage] R10 audit PASSED  backend=grouped_splitter  participants train/val/test=44/11/54 of 109
[leakage] GroupedSplitter cross-check ok=True
[leakage] cross-check warning: all records come from one site: this split cannot falsify a site/device shortcut (Appendix D 'Site/device shortcuts')
real EEG: 290673 windows, train/val/test = 117639/29274/143760
[noise-floor init] log_noise +0.0000 -> +0.7541  (variance 1.0000 -> 2.6282, realised 4.2577)

=== Stage T1_measured_founding: 2966 steps, lr=0.000346 ===
stage=T1_measured_founding  step=1340  global_step=1340  loss=1.081  lr=0.0002091  wall_s=2506  traj_s_per_s=13.1  gpu_reserved_gb=37.11  sim_forecast_nll=0.674  npe_loss=7.811  npe_rejected=0  npe_seen_max=28.92
stage=T1_measured_founding  step=1360  global_step=1360  loss=0.8416  lr=0.0002054  wall_s=2545  traj_s_per_s=13.1  gpu_reserved_gb=37.11  sim_forecast_nll=0.5016  npe_loss=7.783  npe_rejected=0  npe_seen_max=28.92
stage=T1_measured_founding  step=1380  global_step=1380  loss=0.8294  lr=0.0002017  wall_s=2583  traj_s_per_s=13.1  gpu_reserved_gb=37.11  sim_forecast_nll=0.4907  npe_loss=8.048  npe_rejected=0  npe_seen_max=28.92
stage=T1_measured_founding  step=1400  global_step=1400  loss=1.107  lr=0.0001979  wall_s=2622  traj_s_per_s=13.1  gpu_reserved_gb=37.11  sim_forecast_nll=0.7034  npe_loss=7.958  npe_rejected=0  npe_seen_max=28.92
stage=T1_measured_founding  step=1420  global_step=1420  loss=1.005  lr=0.0001942  wall_s=2661  traj_s_per_s=13.1  gpu_reserved_gb=37.11  sim_forecast_nll=0.6097  npe_loss=8.168  npe_rejected=0  npe_seen_max=28.92
stage=T1_measured_founding  step=1440  global_step=1440  loss=0.9379  lr=0.0001904  wall_s=2700  traj_s_per_s=13.1  gpu_reserved_gb=37.11  sim_forecast_nll=0.5554  npe_loss=8.048  npe_rejected=0  npe_seen_max=29.19
stage=T1_measured_founding  step=1460  global_step=1460  loss=1.078  lr=0.0001866  wall_s=2741  traj_s_per_s=13.1  gpu_reserved_gb=37.11  sim_forecast_nll=0.6752  npe_loss=7.89  npe_rejected=0  npe_seen_max=29.19
stage=T1_measured_founding  step=1480  global_step=1480  loss=1.058  lr=0.0001829  wall_s=2778  traj_s_per_s=13.1  gpu_reserved_gb=37.11  sim_forecast_nll=0.6395  npe_loss=7.979  npe_rejected=0  npe_seen_max=29.19
stage=T1_measured_founding  step=1500  global_step=1500  loss=1.187  lr=0.0001791  wall_s=2818  traj_s_per_s=13.1  gpu_reserved_gb=37.11  sim_forecast_nll=0.7246  npe_loss=7.816  npe_rejected=0  npe_seen_max=29.19
stage=T1_measured_founding  step=1520  global_step=1520  loss=0.9173  lr=0.0001753  wall_s=2857  traj_s_per_s=13.1  gpu_reserved_gb=37.11  sim_forecast_nll=0.5335  npe_loss=7.79  npe_rejected=0  npe_seen_max=29.19
stage=T1_measured_founding  step=1540  global_step=1540  loss=1.09  lr=0.0001715  wall_s=2896  traj_s_per_s=13.1  gpu_reserved_gb=37.11  sim_forecast_nll=0.6705  npe_loss=7.715  npe_rejected=0  npe_seen_max=29.19
stage=T1_measured_founding  step=1560  global_step=1560  loss=1.002  lr=0.0001677  wall_s=2935  traj_s_per_s=13.1  gpu_reserved_gb=37.11  sim_forecast_nll=0.5884  npe_loss=7.804  npe_rejected=0  npe_seen_max=29.19
stage=T1_measured_founding  step=1580  global_step=1580  loss=1.073  lr=0.0001639  wall_s=2973  traj_s_per_s=13.1  gpu_reserved_gb=37.11  sim_forecast_nll=0.645  npe_loss=7.54  npe_rejected=0  npe_seen_max=29.19
stage=T1_measured_founding  step=1600  global_step=1600  loss=0.9337  lr=0.0001601  wall_s=3012  traj_s_per_s=13.1  gpu_reserved_gb=37.11  sim_forecast_nll=0.555  npe_loss=7.96  npe_rejected=0  npe_seen_max=29.19
stage=T1_measured_founding  step=1620  global_step=1620  loss=0.8327  lr=0.0001563  wall_s=3050  traj_s_per_s=13.1  gpu_reserved_gb=37.11  sim_forecast_nll=0.5307  npe_loss=7.747  npe_rejected=0  npe_seen_max=29.19
stage=T1_measured_founding  step=1640  global_step=1640  loss=1.025  lr=0.0001526  wall_s=3088  traj_s_per_s=13.1  gpu_reserved_gb=37.11  sim_forecast_nll=0.6393  npe_loss=7.842  npe_rejected=0  npe_seen_max=29.19
stage=T1_measured_founding  step=1660  global_step=1660  loss=0.8792  lr=0.0001488  wall_s=3130  traj_s_per_s=13  gpu_reserved_gb=37.11  sim_forecast_nll=0.5333  npe_loss=7.886  npe_rejected=0  npe_seen_max=29.19
stage=T1_measured_founding  step=1680  global_step=1680  loss=1.077  lr=0.0001451  wall_s=3168  traj_s_per_s=13  gpu_reserved_gb=37.11  sim_forecast_nll=0.641  npe_loss=8.164  npe_rejected=0  npe_seen_max=29.19
stage=T1_measured_founding  step=1700  global_step=1700  loss=0.8356  lr=0.0001413  wall_s=3206  traj_s_per_s=13  gpu_reserved_gb=37.11  sim_forecast_nll=0.4761  npe_loss=8.047  npe_rejected=0  npe_seen_max=29.19
stage=T1_measured_founding  step=1720  global_step=1720  loss=0.723  lr=0.0001376  wall_s=3245  traj_s_per_s=13  gpu_reserved_gb=37.11  sim_forecast_nll=0.4004  npe_loss=7.864  npe_rejected=0  npe_seen_max=29.19
stage=T1_measured_founding  step=1740  global_step=1740  loss=1.04  lr=0.0001339  wall_s=3284  traj_s_per_s=13  gpu_reserved_gb=37.11  sim_forecast_nll=0.6221  npe_loss=7.84  npe_rejected=0  npe_seen_max=29.19
stage=T1_measured_founding  step=1760  global_step=1760  loss=0.8243  lr=0.0001302  wall_s=3322  traj_s_per_s=13  gpu_reserved_gb=37.11  sim_forecast_nll=0.4645  npe_loss=8.003  npe_rejected=0  npe_seen_max=29.19
stage=T1_measured_founding  step=1780  global_step=1780  loss=0.7866  lr=0.0001265  wall_s=3360  traj_s_per_s=13  gpu_reserved_gb=37.11  sim_forecast_nll=0.4506  npe_loss=7.991  npe_rejected=0  npe_seen_max=29.19
stage=T1_measured_founding  step=1800  global_step=1800  loss=0.9641  lr=0.0001229  wall_s=3398  traj_s_per_s=13  gpu_reserved_gb=37.11  sim_forecast_nll=0.5744  npe_loss=8.126  npe_rejected=0  npe_seen_max=29.19
stage=T1_measured_founding  step=1820  global_step=1820  loss=1.012  lr=0.0001193  wall_s=3443  traj_s_per_s=13  gpu_reserved_gb=37.11  sim_forecast_nll=0.6086  npe_loss=7.461  npe_rejected=0  npe_seen_max=29.19
stage=T1_measured_founding  step=1840  global_step=1840  loss=0.8654  lr=0.0001157  wall_s=3481  traj_s_per_s=13  gpu_reserved_gb=37.11  sim_forecast_nll=0.499  npe_loss=7.914  npe_rejected=0  npe_seen_max=29.19
stage=T1_measured_founding  step=1860  global_step=1860  loss=1.119  lr=0.0001121  wall_s=3520  traj_s_per_s=13  gpu_reserved_gb=37.11  sim_forecast_nll=0.6905  npe_loss=7.572  npe_rejected=0  npe_seen_max=29.19
stage=T1_measured_founding  step=1880  global_step=1880  loss=1.259  lr=0.0001086  wall_s=3558  traj_s_per_s=13  gpu_reserved_gb=37.11  sim_forecast_nll=0.7583  npe_loss=8.104  npe_rejected=0  npe_seen_max=29.19
